Signatures,Stability (Avg Silhouette),Minimum Stability,Considerable Solution,P-value,Matrix Frobenius%,Mean Sample L1%,Maximum Sample L1%,Mean Sample L2%,Maximum Sample L2%,Mean Sample KL,Maximum Sample KL,Mean Cosine Distance,Max Cosine Distance,Mean Correlation,Minimum Correlation
1,1.0,1.0,YES,3.46e-06,43.2%,77.23%,117.98%,95.64%,149.15,0.4912,1.0048,0.28,0.496,0.612,0.251
2*,0.98,0.97,YES,2.04e-01,5.57%,49.96%,97.04%,45.04%,73.29,0.3035,0.7788,0.131,0.319,0.738,0.459
3,0.9,0.82,YES,Most Stab Sigs,5.28%,46.56%,93.23%,41.82%,68.7,0.2655,0.7168,0.106,0.273,0.79,0.562
4,0.58,-0.04,NO,N/A,5.04%,43.43%,92.1%,40.23%,66.84,0.2541,0.6848,0.1,0.255,0.802,0.563
5,0.34,-0.74,NO,N/A,4.86%,43.09%,92.12%,39.2%,67.57,0.2509,0.6969,0.097,0.263,0.808,0.582
6,0.27,-0.43,NO,N/A,5.24%,43.71%,92.2%,40.27%,67.57,0.2461,0.7042,0.094,0.263,0.814,0.579
7,0.2,-0.39,NO,N/A,8.84%,41.26%,92.22%,36.22%,67.19,0.2306,0.6982,0.087,0.258,0.828,0.596
8,0.14,-0.44,NO,N/A,4.74%,40.4%,91.96%,35.83%,67.76,0.2341,0.6978,0.088,0.263,0.827,0.587
9,0.12,-0.3,NO,N/A,4.88%,38.42%,90.6%,36.06%,65.75,0.2149,0.6848,0.08,0.245,0.844,0.617
10,0.09,-0.33,NO,N/A,8.1%,39.88%,89.13%,35.17%,64.74,0.2177,0.6614,0.081,0.235,0.841,0.631
11,0.13,-0.31,NO,N/A,4.21%,38.11%,90.32%,36.57%,65.88,0.2089,0.7071,0.077,0.245,0.849,0.623
12,0.06,-0.36,NO,N/A,9.79%,35.75%,91.74%,33.32%,67.97,0.2043,0.7303,0.073,0.265,0.858,0.584
13,0.04,-0.4,NO,N/A,15.78%,39.21%,82.96%,34.1%,61.82,0.2042,0.6158,0.07,0.213,0.871,0.673
14,0.06,-0.24,NO,N/A,14.89%,36.81%,87.72%,34.39%,66.44,0.2061,0.6657,0.071,0.248,0.865,0.629
15,0.07,-0.52,NO,N/A,11.07%,32.34%,85.42%,30.35%,62.8,0.1692,0.6293,0.061,0.221,0.878,0.657
