Samples	SBS96A	SBS96B
PD3851a_exome37	2.38E+00	2.38E+00
PD3890a_exome37	3.71E+00	3.71E+00
PD3904a_exome37	1.00E+00	1.00E+00
PD3905a_exome37	3.77E+00	3.77E+00
PD3945a_exome37	6.10E+00	6.10E+00
PD4005a_exome37	5.09E+00	5.09E+00
PD4006a_exome37	3.39E+00	3.39E+00
PD4085a_exome37	3.87E+00	3.87E+00
PD4086a_exome37	2.04E+00	2.04E+00
PD4088a_exome37	2.89E+00	2.89E+00
PD4103a_exome37	4.70E+00	4.70E+00
PD4107a_exome37	2.36E+00	2.36E+00
PD4109a_exome37	6.35E+00	6.35E+00
PD4115a_exome37	2.32E+00	2.32E+00
PD4116a_exome37	6.00E+00	6.00E+00
PD4120a_exome37	0.00E+00	0.00E+00
PD4192a_exome37	4.55E+00	4.55E+00
PD4194a_exome37	7.48E-01	7.48E-01
PD4198a_exome37	4.28E+00	4.28E+00
PD4199a_exome37	3.43E+00	3.43E+00
PD4248a_exome37	2.61E+00	2.61E+00
