Samples	SBS96A	SBS96B
PD3851a_exome37	13	74
PD3890a_exome37	59	194
PD3904a_exome37	53	216
PD3905a_exome37	54	193
PD3945a_exome37	59	320
PD4005a_exome37	109	192
PD4006a_exome37	6	363
PD4085a_exome37	7	108
PD4086a_exome37	42	77
PD4088a_exome37	12	63
PD4103a_exome37	54	187
PD4107a_exome37	18	388
PD4109a_exome37	89	319
PD4115a_exome37	17	392
PD4116a_exome37	45	304
PD4120a_exome37	4056	0
PD4192a_exome37	46	144
PD4194a_exome37	7	60
PD4198a_exome37	23	190
PD4199a_exome37	279	103
PD4248a_exome37	12	113
