Samples	SBS96A
PD3851a_exome37	0.00E+00
PD3890a_exome37	0.00E+00
PD3904a_exome37	0.00E+00
PD3905a_exome37	0.00E+00
PD3945a_exome37	0.00E+00
PD4005a_exome37	0.00E+00
PD4006a_exome37	0.00E+00
PD4085a_exome37	0.00E+00
PD4086a_exome37	0.00E+00
PD4088a_exome37	0.00E+00
PD4103a_exome37	0.00E+00
PD4107a_exome37	0.00E+00
PD4109a_exome37	0.00E+00
PD4115a_exome37	0.00E+00
PD4116a_exome37	0.00E+00
PD4120a_exome37	0.00E+00
PD4192a_exome37	0.00E+00
PD4194a_exome37	0.00E+00
PD4198a_exome37	0.00E+00
PD4199a_exome37	0.00E+00
PD4248a_exome37	0.00E+00
