Samples	SBS96A	SBS96B	SBS96C	SBS96D
PD3851a_exome37	8	0	79	0
PD3890a_exome37	25	58	0	170
PD3904a_exome37	49	195	24	1
PD3905a_exome37	22	50	0	175
PD3945a_exome37	49	249	81	0
PD4005a_exome37	101	170	30	0
PD4006a_exome37	0	230	86	53
PD4085a_exome37	0	22	70	23
PD4086a_exome37	23	0	0	96
PD4088a_exome37	8	12	55	0
PD4103a_exome37	32	0	141	68
PD4107a_exome37	0	173	61	172
PD4109a_exome37	66	65	225	52
PD4115a_exome37	0	252	61	96
PD4116a_exome37	33	268	0	48
PD4120a_exome37	3989	0	67	0
PD4192a_exome37	28	38	39	85
PD4194a_exome37	0	0	29	38
PD4198a_exome37	1	6	130	76
PD4199a_exome37	252	0	56	74
PD4248a_exome37	6	34	85	0
