Samples	SBS96A	SBS96B	SBS96C	SBS96D	SBS96E
PD3851a_exome37	11	0	76	0	0
PD3890a_exome37	15	50	0	102	86
PD3904a_exome37	48	168	31	20	2
PD3905a_exome37	13	5	0	154	75
PD3945a_exome37	43	227	87	0	22
PD4005a_exome37	86	145	33	0	37
PD4006a_exome37	0	189	98	79	3
PD4085a_exome37	0	9	63	30	13
PD4086a_exome37	27	0	0	70	22
PD4088a_exome37	2	8	43	0	22
PD4103a_exome37	38	0	135	48	20
PD4107a_exome37	10	88	45	263	0
PD4109a_exome37	54	60	225	0	69
PD4115a_exome37	0	212	71	94	32
PD4116a_exome37	38	228	0	83	0
PD4120a_exome37	3985	0	71	0	0
PD4192a_exome37	42	41	55	52	0
PD4194a_exome37	0	0	29	26	12
PD4198a_exome37	0	0	129	36	48
PD4199a_exome37	168	0	0	0	214
PD4248a_exome37	9	28	88	0	0
