Samples	SBS96A	SBS96B
PD3851a_exome37	14	73
PD3890a_exome37	62	191
PD3904a_exome37	55	214
PD3905a_exome37	55	192
PD3945a_exome37	61	318
PD4005a_exome37	110	191
PD4006a_exome37	10	359
PD4085a_exome37	9	106
PD4086a_exome37	43	76
PD4088a_exome37	13	62
PD4103a_exome37	55	186
PD4107a_exome37	22	384
PD4109a_exome37	91	317
PD4115a_exome37	20	389
PD4116a_exome37	47	302
PD4120a_exome37	4056	0
PD4192a_exome37	47	143
PD4194a_exome37	7	60
PD4198a_exome37	25	188
PD4199a_exome37	278	104
PD4248a_exome37	13	112
