Samples	SBS96A	SBS96B	SBS96C	SBS96D	SBS96E	SBS96F	SBS96G
PD3851a_exome37	5	0	0	0	0	82	0
PD3890a_exome37	57	143	48	0	5	0	0
PD3904a_exome37	40	0	159	0	0	13	57
PD3905a_exome37	43	154	0	39	0	11	0
PD3945a_exome37	0	0	51	229	0	30	69
PD4005a_exome37	73	0	50	160	0	18	0
PD4006a_exome37	0	180	65	58	61	5	0
PD4085a_exome37	0	0	0	0	31	18	66
PD4086a_exome37	31	45	0	0	3	0	40
PD4088a_exome37	2	0	0	18	0	45	10
PD4103a_exome37	39	37	0	0	16	149	0
PD4107a_exome37	0	153	86	0	44	0	123
PD4109a_exome37	39	2	0	147	202	18	0
PD4115a_exome37	4	31	248	20	76	30	0
PD4116a_exome37	19	56	141	100	0	0	33
PD4120a_exome37	3961	0	0	0	62	0	33
PD4192a_exome37	36	54	19	0	45	12	24
PD4194a_exome37	2	20	2	0	11	32	0
PD4198a_exome37	0	14	0	22	52	97	28
PD4199a_exome37	264	0	0	0	118	0	0
PD4248a_exome37	1	18	8	11	17	54	16
