Samples	SBS96A	SBS96B	SBS96C	SBS96D	SBS96E	SBS96F	SBS96G	SBS96H
PD3851a_exome37	4	0	0	15	34	34	0	0
PD3890a_exome37	31	46	0	128	0	0	15	33
PD3904a_exome37	36	21	95	99	0	18	0	0
PD3905a_exome37	10	15	31	38	0	0	88	65
PD3945a_exome37	39	9	219	0	73	0	39	0
PD4005a_exome37	82	43	147	0	14	0	1	14
PD4006a_exome37	0	150	40	0	74	0	105	0
PD4085a_exome37	0	0	9	0	22	25	59	0
PD4086a_exome37	0	0	0	47	0	0	0	72
PD4088a_exome37	10	0	2	15	48	0	0	0
PD4103a_exome37	0	0	7	10	16	162	8	38
PD4107a_exome37	0	84	40	143	0	38	90	11
PD4109a_exome37	33	56	34	0	182	41	0	62
PD4115a_exome37	0	202	37	104	42	24	0	0
PD4116a_exome37	7	215	97	0	0	0	0	30
PD4120a_exome37	3908	0	0	0	0	146	0	2
PD4192a_exome37	28	48	0	0	0	46	68	0
PD4194a_exome37	0	0	0	25	21	18	0	3
PD4198a_exome37	16	0	0	10	102	13	72	0
PD4199a_exome37	144	0	0	0	25	1	0	212
PD4248a_exome37	0	0	21	31	11	62	0	0
