Samples	DBS78A
PD3851a_non-exome	0.00E+00
PD3890a_non-exome	0.00E+00
PD3904a_non-exome	0.00E+00
PD3905a_non-exome	0.00E+00
PD3945a_non-exome	0.00E+00
PD4005a_non-exome	0.00E+00
PD4006a_non-exome	0.00E+00
PD4085a_non-exome	0.00E+00
PD4086a_non-exome	0.00E+00
PD4088a_non-exome	0.00E+00
PD4103a_non-exome	0.00E+00
PD4107a_non-exome	0.00E+00
PD4109a_non-exome	0.00E+00
PD4115a_non-exome	0.00E+00
PD4116a_non-exome	0.00E+00
PD4120a_non-exome	0.00E+00
PD4192a_non-exome	0.00E+00
PD4194a_non-exome	0.00E+00
PD4198a_non-exome	0.00E+00
PD4199a_non-exome	0.00E+00
PD4248a_non-exome	0.00E+00
