Samples	SBS1	SBS2	SBS5	SBS8	SBS13
PD3851a_non-exome	199	0	1053	443	0
PD3890a_non-exome	147	260	3052	1541	871
PD3904a_non-exome	0	394	2771	1644	528
PD3905a_non-exome	0	224	2161	1413	540
PD3945a_non-exome	179	299	4933	3765	753
PD4005a_non-exome	0	796	2309	1128	1568
PD4006a_non-exome	248	0	4458	3530	589
PD4085a_non-exome	281	0	1573	704	0
PD4086a_non-exome	132	247	1255	0	446
PD4088a_non-exome	279	103	663	470	115
PD4103a_non-exome	569	642	2268	1041	599
PD4107a_non-exome	0	689	5067	3625	502
PD4109a_non-exome	770	676	4585	1949	1500
PD4115a_non-exome	299	193	5082	3407	564
PD4116a_non-exome	0	354	3658	2724	940
PD4120a_non-exome	600	30961	3004	0	32069
PD4192a_non-exome	315	268	1846	716	584
PD4194a_non-exome	211	141	868	0	197
PD4198a_non-exome	443	487	2039	1058	312
PD4199a_non-exome	303	2383	1471	0	2393
PD4248a_non-exome	153	127	1363	625	143
