Samples	SBS96A	SBS96B	SBS96C	SBS96D	SBS96E	SBS96F	SBS96G	SBS96H	SBS96I	SBS96J
PD3851a_non-exome	0	93	159	0	0	302	45	47	444	605
PD3890a_non-exome	177	521	980	962	1391	0	1185	202	135	318
PD3904a_non-exome	0	1233	579	431	456	456	1413	0	771	0
PD3905a_non-exome	394	0	1197	1010	469	0	344	289	215	422
PD3945a_non-exome	0	646	1150	3724	267	0	372	871	2899	0
PD4005a_non-exome	1328	470	348	1447	1580	366	264	0	0	0
PD4006a_non-exome	85	14	3744	2389	691	57	607	766	0	472
PD4085a_non-exome	0	130	53	43	0	734	228	358	540	472
PD4086a_non-exome	448	0	45	343	353	33	174	218	0	466
PD4088a_non-exome	142	6	66	0	0	1310	59	47	0	0
PD4103a_non-exome	104	1754	0	0	611	1765	0	203	205	477
PD4107a_non-exome	0	2091	4690	0	275	637	673	269	1075	175
PD4109a_non-exome	0	1852	0	0	3054	1934	0	1723	702	215
PD4115a_non-exome	268	29	2717	1695	168	944	1863	661	1112	88
PD4116a_non-exome	685	0	1779	1608	638	0	2041	926	0	0
PD4120a_non-exome	58319	8315	0	0	0	0	0	0	0	0
PD4192a_non-exome	412	0	643	70	827	0	0	383	259	1135
PD4194a_non-exome	220	0	0	0	109	178	134	49	0	727
PD4198a_non-exome	271	817	0	45	0	982	250	1627	0	347
PD4199a_non-exome	4058	1117	0	107	0	417	0	68	0	783
PD4248a_non-exome	30	274	0	325	0	207	505	460	260	350
