Samples	SBS96A	SBS96B	SBS96C	SBS96D	SBS96E	SBS96F	SBS96G	SBS96H	SBS96I	SBS96J	SBS96K	SBS96L
PD3851a_non-exome	0	0	136	0	0	153	10	93	515	306	201	281
PD3890a_non-exome	359	774	144	166	1184	195	1736	78	0	149	1086	0
PD3904a_non-exome	324	403	1446	982	0	256	1187	0	0	0	0	741
PD3905a_non-exome	186	534	680	334	525	0	382	223	158	522	646	150
PD3945a_non-exome	7	537	271	4233	1331	0	54	1483	0	1441	60	512
PD4005a_non-exome	1002	1853	173	945	426	0	477	0	153	456	318	0
PD4006a_non-exome	0	209	2367	1191	1049	0	444	1075	434	0	2056	0
PD4085a_non-exome	3	16	11	112	0	395	301	230	649	542	70	229
PD4086a_non-exome	199	573	0	0	8	12	0	149	165	439	212	323
PD4088a_non-exome	93	49	0	365	62	65	0	0	996	0	0	0
PD4103a_non-exome	940	15	0	630	0	1418	672	0	1269	45	0	130
PD4107a_non-exome	706	0	4675	285	494	1291	91	0	0	1558	470	315
PD4109a_non-exome	370	2011	0	1702	228	3274	84	942	525	0	172	172
PD4115a_non-exome	129	173	686	1210	3535	654	1239	399	254	764	79	423
PD4116a_non-exome	102	1597	3141	0	384	0	670	1199	0	551	0	33
PD4120a_non-exome	54623	12011	0	0	0	0	0	0	0	0	0	0
PD4192a_non-exome	133	513	0	0	185	199	0	187	391	51	1331	739
PD4194a_non-exome	0	272	0	0	11	0	0	0	407	0	79	648
PD4198a_non-exome	493	0	81	0	16	800	0	1485	824	0	0	640
PD4199a_non-exome	3892	915	0	0	126	0	0	0	525	0	149	943
PD4248a_non-exome	127	56	0	0	0	0	811	560	308	293	0	256
