Samples	SBS96A	SBS96B	SBS96C	SBS96D	SBS96E	SBS96F	SBS96G	SBS96H	SBS96I	SBS96J	SBS96K	SBS96L
PD3851a_non-exome	1.01E+01	8.20E+00	3.58E+01	4.91E+01	7.84E+01	6.17E+01	4.56E+00	5.40E+01	8.48E+01	7.07E+01	5.55E+01	9.18E+01
PD3890a_non-exome	5.53E+01	1.36E+02	1.36E+02	1.96E+02	2.83E+02	1.44E+02	3.65E+02	8.63E+01	3.32E+00	2.30E+02	2.31E+02	9.20E+01
PD3904a_non-exome	7.41E+01	1.65E+02	3.20E+02	2.68E+02	4.18E+01	1.49E+02	2.62E+02	1.03E+02	9.39E+00	5.77E+01	1.35E+02	1.62E+02
PD3905a_non-exome	4.36E+01	9.57E+01	1.44E+02	2.05E+02	1.15E+02	1.81E+01	1.03E+02	9.00E+01	6.78E+01	1.56E+02	9.09E+01	8.20E+01
PD3945a_non-exome	1.07E+02	3.15E+02	7.57E+02	6.42E+02	3.01E+02	1.35E+02	2.56E+02	2.90E+02	2.29E+01	1.96E+02	6.96E+00	2.20E+02
PD4005a_non-exome	2.58E+02	2.97E+02	8.85E+01	2.69E+02	1.66E+02	8.14E+01	1.88E+02	6.70E+01	7.05E+01	1.28E+02	7.36E+01	4.69E+01
PD4006a_non-exome	0.00E+00	1.48E+02	5.90E+02	3.77E+02	4.20E+02	5.04E+01	1.42E+02	2.36E+02	1.62E+02	8.24E+01	2.68E+02	1.32E+01
PD4085a_non-exome	3.56E+00	2.43E+01	5.06E+01	6.39E+01	2.85E+01	1.06E+02	6.51E+01	6.13E+01	1.06E+02	9.82E+01	1.43E+01	6.41E+01
PD4086a_non-exome	6.78E+01	4.85E+01	9.20E+00	8.85E+01	4.48E+01	7.98E+01	7.65E+01	3.87E+01	6.21E+01	9.24E+01	5.02E+01	6.57E+01
PD4088a_non-exome	3.52E+01	3.83E+01	2.67E+01	9.34E+01	5.35E+01	3.81E+01	2.65E+01	0.00E+00	6.09E+01	6.01E+01	0.00E+00	2.45E-01
PD4103a_non-exome	1.48E+02	1.36E+02	5.92E+01	1.26E+02	3.65E+01	3.52E+02	1.66E+02	4.12E+01	2.22E+02	1.92E+02	1.77E+01	3.46E+02
PD4107a_non-exome	1.69E+02	4.00E-01	6.98E+02	6.19E+02	5.65E+02	5.18E+02	1.96E+02	3.01E+02	1.27E+02	4.04E+02	2.64E+02	1.36E+02
PD4109a_non-exome	1.60E+02	2.18E+02	1.84E+02	4.39E+02	2.34E+02	3.13E+02	1.86E+02	2.72E+02	2.22E+02	6.74E+01	3.45E+01	1.35E+02
PD4115a_non-exome	5.42E+01	2.12E+02	1.34E+02	2.84E+02	1.99E+02	3.50E+02	3.69E+02	1.47E+02	1.87E+02	2.63E+02	6.13E+01	1.18E+02
PD4116a_non-exome	1.01E+02	1.47E+02	1.92E+02	3.46E+02	2.66E+02	4.82E+01	7.61E+01	4.10E+02	2.06E+01	2.34E+02	1.10E+02	1.51E+02
PD4120a_non-exome	5.19E+03	5.54E+03	6.93E+01	1.66E+00	7.44E+00	1.26E+02	6.06E+00	4.00E-01	5.51E+00	1.47E+01	7.18E+01	5.13E+02
PD4192a_non-exome	8.12E+01	1.73E+02	7.48E+01	2.56E+00	9.12E+01	1.82E+02	7.09E+01	1.54E+02	9.49E+01	7.01E+01	2.00E+02	1.84E+02
PD4194a_non-exome	4.59E+01	5.18E+01	2.98E+01	0.00E+00	0.00E+00	5.49E+01	9.71E+01	6.15E+01	1.08E+02	2.06E+01	1.77E+01	1.68E+02
PD4198a_non-exome	1.08E+02	7.35E-01	5.94E+01	1.75E+02	9.39E+01	3.22E+02	2.83E+01	2.99E+02	2.74E+02	5.49E+01	2.62E+01	4.00E+02
PD4199a_non-exome	3.45E+02	3.76E+02	4.71E+01	5.11E+01	3.84E+01	4.77E+01	9.06E+01	8.38E+01	1.33E+02	4.12E+01	0.00E+00	2.53E+02
PD4248a_non-exome	4.81E+01	2.14E+01	5.48E+00	5.36E+01	4.82E+01	4.07E+01	1.99E+02	1.51E+02	4.00E+01	9.20E+01	4.12E+01	1.17E+02
