Samples	DBS78A	DBS78B	DBS78C	DBS78D	DBS78E	DBS78F	DBS78G	DBS78H	DBS78I	DBS78J	DBS78K	DBS78L	DBS78M
PD3851a_non-exome	0.00E+00	6.00E-01	1.00E+00	0.00E+00	8.00E-01	1.91E+00	0.00E+00	1.40E+00	0.00E+00	0.00E+00	2.00E+00	0.00E+00	0.00E+00
PD3890a_non-exome	0.00E+00	0.00E+00	4.00E-01	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	4.36E+00	1.40E+00	0.00E+00	1.26E+00	2.00E+00
PD3904a_non-exome	2.00E+00	0.00E+00	0.00E+00	0.00E+00	9.20E+00	3.87E+00	0.00E+00	4.00E-01	0.00E+00	1.52E+01	2.00E-01	8.00E+00	0.00E+00
PD3905a_non-exome	8.00E-01	0.00E+00	0.00E+00	0.00E+00	0.00E+00	8.00E-01	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00
PD3945a_non-exome	0.00E+00	2.51E+01	6.97E+00	0.00E+00	0.00E+00	1.08E+01	1.67E+01	0.00E+00	0.00E+00	0.00E+00	1.01E+01	1.00E+00	5.60E+00
PD4005a_non-exome	0.00E+00	0.00E+00	0.00E+00	0.00E+00	2.71E+00	2.71E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00
PD4006a_non-exome	0.00E+00	0.00E+00	4.00E+00	1.24E+01	0.00E+00	1.20E+00	0.00E+00	1.40E+01	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00
PD4085a_non-exome	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	1.60E+00	1.60E+00	0.00E+00	0.00E+00	0.00E+00	1.60E+00	4.00E-01	1.74E+00
PD4086a_non-exome	0.00E+00	0.00E+00	8.00E-01	4.00E-01	0.00E+00	9.80E-01	0.00E+00	0.00E+00	0.00E+00	8.00E-01	0.00E+00	0.00E+00	0.00E+00
PD4088a_non-exome	8.72E-01	0.00E+00	0.00E+00	0.00E+00	6.00E-01	0.00E+00	4.00E-01	0.00E+00	1.20E+00	0.00E+00	0.00E+00	1.20E+00	1.20E+00
PD4103a_non-exome	2.00E-01	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	2.00E-01	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00
PD4107a_non-exome	0.00E+00	0.00E+00	8.83E+00	0.00E+00	9.00E+00	8.00E-01	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00
PD4109a_non-exome	2.38E+00	0.00E+00	0.00E+00	5.06E+00	3.40E+00	0.00E+00	9.80E-01	0.00E+00	7.12E+00	7.60E+00	0.00E+00	6.00E-01	0.00E+00
PD4115a_non-exome	0.00E+00	0.00E+00	0.00E+00	2.30E+01	0.00E+00	0.00E+00	0.00E+00	2.30E+01	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00
PD4116a_non-exome	0.00E+00	1.53E+01	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	1.53E+01	0.00E+00	0.00E+00
PD4120a_non-exome	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00
PD4192a_non-exome	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	5.83E-01	0.00E+00	0.00E+00	0.00E+00	3.20E+00	0.00E+00	0.00E+00	3.05E+00
PD4194a_non-exome	0.00E+00	0.00E+00	1.60E+00	0.00E+00	1.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	1.60E+00	1.96E+00	6.00E-01
PD4198a_non-exome	6.00E-01	6.00E-01	0.00E+00	0.00E+00	2.00E-01	0.00E+00	0.00E+00	4.00E-01	0.00E+00	2.20E+00	3.18E+00	2.60E+00	1.00E+00
PD4199a_non-exome	2.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	8.00E-01	2.80E+00	0.00E+00	0.00E+00	4.00E-01	0.00E+00	4.47E+00	3.10E+00
PD4248a_non-exome	0.00E+00	0.00E+00	0.00E+00	1.80E+00	1.83E+00	1.98E+00	1.80E+00	0.00E+00	2.60E+00	0.00E+00	0.00E+00	1.39E+00	2.80E+00
