Samples	SBS96A	SBS96B	SBS96C	SBS96D	SBS96E	SBS96F	SBS96G	SBS96H	SBS96I	SBS96J	SBS96K	SBS96L	SBS96M	SBS96N
PD3851a_non-exome	1.11E+01	2.46E+01	6.30E+01	0.00E+00	7.88E+01	2.20E+00	5.58E+01	6.60E+01	9.29E+01	0.00E+00	3.40E+01	3.46E+01	6.52E+01	7.94E+01
PD3890a_non-exome	9.75E+01	1.66E+02	7.64E+01	2.14E+02	2.07E+02	2.19E+02	1.70E+02	1.29E+02	4.99E+01	2.86E+02	2.47E+02	6.37E+01	7.69E+01	7.13E+01
PD3904a_non-exome	8.50E+01	1.98E+02	6.16E+01	6.41E+01	1.18E+02	1.30E+02	8.81E+01	1.59E+02	3.10E+01	1.52E+02	3.44E+02	1.58E+02	3.48E+01	4.02E+01
PD3905a_non-exome	9.03E+01	1.53E+02	1.81E+02	1.10E+02	7.25E+01	1.68E+02	1.05E+02	1.35E+02	1.14E+02	9.71E+01	1.01E+02	4.76E+01	6.98E+01	7.43E+01
PD3945a_non-exome	4.34E+01	8.32E+01	4.50E+02	2.63E+02	2.24E+02	5.36E+02	7.39E+02	5.79E+02	1.33E+02	2.69E+02	3.38E+02	5.16E+02	5.91E+01	6.73E+01
PD4005a_non-exome	3.89E+02	4.66E+02	2.67E+02	1.90E+02	7.87E+01	1.63E+02	1.52E+02	3.66E+01	9.21E+01	1.42E+02	2.50E+02	4.65E+01	8.03E+01	1.36E+02
PD4006a_non-exome	2.30E+01	1.46E+01	2.15E+02	2.51E+02	2.49E+02	1.70E+02	3.35E+02	3.89E+02	1.55E+02	2.79E+02	3.39E+02	2.06E+02	7.43E+01	1.96E+02
PD4085a_non-exome	4.00E-01	1.48E+01	7.04E+01	2.70E+01	5.79E+01	2.12E+01	4.83E+01	3.17E+01	1.51E+02	8.12E+01	1.04E+02	9.96E+01	1.76E+02	4.97E+01
PD4086a_non-exome	8.37E+01	1.01E+02	2.82E+01	9.71E+01	4.29E+01	0.00E+00	6.38E+01	1.14E+02	5.62E+01	2.80E+01	8.11E+01	6.22E+01	1.07E+02	1.53E+02
PD4088a_non-exome	2.49E+01	6.55E+01	1.36E+02	1.62E+01	3.23E+01	3.04E+01	5.39E+01	5.26E+01	6.55E+01	5.58E+01	1.84E+01	0.00E+00	4.96E+01	0.00E+00
PD4103a_non-exome	1.47E+02	2.08E+02	3.80E+00	1.92E+02	2.43E+01	1.98E+01	4.00E+00	1.03E+01	8.64E+01	9.93E+01	9.20E+00	8.23E+01	2.04E+02	1.37E+02
PD4107a_non-exome	9.77E+01	3.22E+02	5.21E+02	1.07E+02	6.07E+02	3.53E+02	3.85E+02	5.08E+02	1.66E+02	8.92E+01	4.76E+01	4.81E+01	1.94E+02	2.27E+02
PD4109a_non-exome	1.50E+02	3.22E+02	2.28E+02	4.94E+02	3.13E+02	9.13E+01	4.37E+01	9.08E+01	8.55E+01	6.24E+02	2.47E+02	3.58E+02	1.84E+02	1.20E+02
PD4115a_non-exome	1.75E+01	3.99E+01	4.90E+02	2.26E+02	3.78E+02	3.76E+02	3.16E+02	3.30E+02	1.41E+02	2.39E+02	2.14E+02	1.61E+02	3.94E+01	2.50E+02
PD4116a_non-exome	1.44E+02	1.73E+02	4.90E+02	1.94E+02	3.54E+01	2.39E+02	2.89E+02	2.88E+02	2.60E+01	8.46E+01	2.63E+02	2.11E+02	2.12E+01	9.85E+01
PD4120a_non-exome	9.53E+03	9.93E+03	9.85E+01	1.14E+02	6.33E+01	3.31E+01	1.44E+01	1.24E+02	6.04E+01	9.09E+00	6.00E-01	2.45E-01	1.02E+02	4.27E+01
PD4192a_non-exome	9.19E+01	9.78E+01	2.66E+01	1.95E+02	2.60E+00	1.15E+02	1.35E+02	1.18E+02	1.30E+02	1.01E+02	5.00E+01	7.86E+01	1.01E+02	2.56E+02
PD4194a_non-exome	5.50E+01	9.26E+01	1.76E+01	3.10E+01	5.89E+01	0.00E+00	1.01E+01	1.37E+01	8.61E+01	0.00E+00	9.09E+01	2.51E+01	1.19E+02	1.34E+02
PD4198a_non-exome	1.06E+02	1.26E+02	7.97E+01	4.48E+01	1.10E+02	2.13E+01	4.87E+01	7.88E+01	2.00E+02	3.71E+01	6.98E+01	1.45E+02	3.64E+02	3.73E+01
PD4199a_non-exome	4.44E+02	4.11E+02	5.12E+01	3.18E+01	9.50E+01	1.83E+01	1.00E+00	1.40E+00	2.00E+02	6.24E+00	9.60E+01	8.69E+00	1.58E+02	1.02E+01
PD4248a_non-exome	1.98E+01	3.60E+01	5.44E+01	3.29E+01	8.35E+01	0.00E+00	1.37E+02	1.97E+02	7.16E+01	6.35E+01	1.13E+02	1.36E+02	1.30E+02	6.05E+01
