Samples	SBS96A	SBS96B	SBS96C	SBS96D	SBS96E	SBS96F	SBS96G	SBS96H	SBS96I	SBS96J	SBS96K	SBS96L	SBS96M	SBS96N
PD3851a_non-exome	0	0	0	0	465	0	0	239	323	0	0	0	0	668
PD3890a_non-exome	216	0	0	2143	1325	980	1207	0	0	0	0	0	0	0
PD3904a_non-exome	0	661	0	0	1495	673	0	1100	0	0	1410	0	0	0
PD3905a_non-exome	0	392	1092	915	0	519	0	851	0	0	0	0	571	0
PD3945a_non-exome	0	0	3815	999	921	0	0	1536	0	1504	0	1154	0	0
PD4005a_non-exome	0	2156	1246	1485	0	0	0	0	0	0	916	0	0	0
PD4006a_non-exome	0	193	0	0	0	3524	1043	1262	448	934	765	0	0	656
PD4085a_non-exome	0	0	0	0	460	0	0	0	650	0	320	685	0	443
PD4086a_non-exome	0	606	0	508	0	0	0	448	0	0	0	0	518	0
PD4088a_non-exome	0	209	335	0	0	0	0	0	1086	0	0	0	0	0
PD4103a_non-exome	0	1140	0	0	1545	0	0	0	1137	545	0	0	752	0
PD4107a_non-exome	514	0	2287	0	2490	2242	1521	0	0	0	0	0	0	831
PD4109a_non-exome	0	1897	0	0	0	0	0	1282	1971	4330	0	0	0	0
PD4115a_non-exome	0	0	1190	1165	1401	936	3945	0	908	0	0	0	0	0
PD4116a_non-exome	0	730	2589	1552	0	0	0	2806	0	0	0	0	0	0
PD4120a_non-exome	45853	20781	0	0	0	0	0	0	0	0	0	0	0	0
PD4192a_non-exome	470	0	0	523	0	489	0	0	0	552	0	0	419	1276
PD4194a_non-exome	212	0	0	0	0	0	0	0	0	0	315	0	632	258
PD4198a_non-exome	610	0	0	0	0	0	0	0	811	0	0	1948	970	0
PD4199a_non-exome	4678	0	0	0	0	0	0	0	814	0	1058	0	0	0
PD4248a_non-exome	0	240	0	0	0	0	0	1036	0	0	0	377	758	0
