MutationType	DBS78A	DBS78B
AC>CA	0.0011309510889645936	0.00555595389116661
AC>CG	0.00045761724900330594	0.0032636816705235105
AC>CT	0.0020839795713868624	0.0032107547080727273
AC>GA	0.011001614388078451	0.003281037920851304
AC>GG	2.1805791675433283e-06	2.981195666507119e-06
AC>GT	0.0014222685894765164	2.2042463740490346e-06
AC>TA	0.010437878500670194	0.002790555153433161
AC>TG	0.004384796135127544	1.688839989810731e-06
AC>TT	0.0023596018529246977	0.01610933314077556
AT>CA	0.005675280292052776	0.007330846790614487
AT>CC	2.1805791675433283e-06	2.981195666507119e-06
AT>CG	2.1805791675433283e-06	2.981195666507119e-06
AT>GA	0.002378330066062517	0.00394904724917069
AT>GC	2.1805791675433283e-06	2.981195666507119e-06
AT>TA	0.004451120528392494	1.1877323913722648e-06
CC>AA	0.1927793115377426	0.03830531286075711
CC>AG	0.03254581056535244	0.01944814659655094
CC>AT	0.05598427429795265	0.048521830886602405
CC>GA	0.016968796666401432	0.02010793281469887
CC>GG	0.0031440748592103775	0.0013262586562859725
CC>GT	0.0074696031048461006	0.03979894854128361
CC>TA	0.0015487213295472227	0.036611980944871905
CC>TG	9.876118178908655e-06	0.010799700906500221
CC>TT	0.015381092857570888	0.14872302263975143
CG>AT	0.0008138047699958406	2.283629669364018e-06
CG>GC	2.1805791675433283e-06	2.981195666507119e-06
CG>GT	0.0003839563529197676	0.001985042822570904
CG>TA	0.0011323637853820402	0.01208700966089964
CG>TC	2.1805791675433283e-06	2.981195666507119e-06
CG>TT	2.1805791675433283e-06	2.981195666507119e-06
CT>AA	0.021424121223390102	0.016019488498568536
CT>AC	0.003012220514938235	0.00033863399901292726
CT>AG	0.030877240747213364	0.0016824386977532413
CT>GA	0.00656339246488642	0.001689062135653785
CT>GC	0.0015792920250532916	0.007854656549170613
CT>GG	0.002132569937543849	0.01115184898028474
CT>TA	0.005516795369341469	0.05953084751963615
CT>TC	0.0013862410975661987	0.007626358498691843
CT>TG	0.002294092995475694	0.010614544106647372
GC>AA	0.07344530001282693	0.012108448799699545
GC>AG	0.023260289391055268	0.03257068619132042
GC>AT	0.003869955702975858	0.026518198475241662
GC>CA	0.008153738481496475	0.012271642265841366
GC>CG	2.1805791675433283e-06	2.981195666507119e-06
GC>TA	0.002129728251816232	0.001991865053469155
TA>AT	0.006209756738633132	0.011247282480599096
TA>CG	0.0019388058375170657	0.0030662779667352423
TA>CT	0.009578350512310863	0.009824991091682023
TA>GC	2.1805791675433283e-06	2.981195666507119e-06
TA>GG	0.00045838855123747635	0.0030258661745619976
TA>GT	0.00736407187948771	0.004144010918275853
TC>AA	0.12501654624938965	0.007263232332333924
TC>AG	0.00807717835033941	0.03774200081825256
TC>AT	0.02471403547897353	0.1128535345196724
TC>CA	0.03855393156409263	0.013728014566004277
TC>CG	0.0026733325659051843	0.003275966641922423
TC>CT	0.01996316984295845	0.019715287908911704
TC>GA	0.02440003752708435	6.019069530793786e-07
TC>GG	0.002754394988232889	0.003961472832668278
TC>GT	0.002746100287220088	0.014065907709300518
TG>AA	0.012756238132715226	1.1798958610143018e-06
TG>AC	0.000981186701937986	0.0009374286016168298
TG>AT	0.03397705629467964	0.005166849949066073
TG>CA	0.02710733562707901	0.010225568991154432
TG>CC	0.004135455144569278	0.011270944221837453
TG>CT	0.06709245592355728	0.02745873657463562
TG>GA	0.00108251651467981	0.0005854050352809281
TG>GC	0.0007150873495675114	0.003802237880057646
TG>GT	0.002938955352078665	0.02445767177268863
TT>AA	0.008211657935316908	0.018541533034294844
TT>AC	0.0021904715347318415	0.001168367247265678
TT>AG	0.0014969189327075582	0.007127333605967579
TT>CA	1.3944840361546086e-06	0.002136471025823994
TT>CC	0.0009370237119014746	0.0046206963340409855
TT>CG	6.184672031395166e-07	0.007973644603043794
TT>GA	2.1805791675433283e-06	2.981195666507119e-06
TT>GC	9.915102623381244e-07	0.005396741405002103
TT>GG	0.0023145407411902853	2.348110228922451e-06
