Samples	SBS96A	SBS96B
PD3851a_non-exome	8.07E+00	8.07E+00
PD3890a_non-exome	5.07E+01	5.07E+01
PD3904a_non-exome	2.72E+01	2.72E+01
PD3905a_non-exome	2.64E+01	2.64E+01
PD3945a_non-exome	5.94E+01	5.94E+01
PD4005a_non-exome	2.55E+01	2.55E+01
PD4006a_non-exome	4.96E+01	4.96E+01
PD4085a_non-exome	1.82E+01	1.82E+01
PD4086a_non-exome	2.25E+01	2.25E+01
PD4088a_non-exome	1.00E+01	1.00E+01
PD4103a_non-exome	3.22E+01	3.22E+01
PD4107a_non-exome	4.89E+01	4.89E+01
PD4109a_non-exome	4.74E+01	4.74E+01
PD4115a_non-exome	5.59E+01	5.59E+01
PD4116a_non-exome	3.63E+01	3.63E+01
PD4120a_non-exome	2.32E+01	2.32E+01
PD4192a_non-exome	2.20E+01	2.20E+01
PD4194a_non-exome	1.29E+01	1.29E+01
PD4198a_non-exome	2.89E+01	2.89E+01
PD4199a_non-exome	2.64E+01	2.64E+01
PD4248a_non-exome	1.22E+01	1.22E+01
