Samples	SBS96A	SBS96B	SBS96C
PD3851a_non-exome	1.00E+01	7.40E+01	6.80E+01
PD3890a_non-exome	4.53E+01	7.62E+01	8.01E+01
PD3904a_non-exome	3.89E+01	9.12E+01	1.14E+02
PD3905a_non-exome	2.90E+01	3.93E+01	6.28E+01
PD3945a_non-exome	7.56E+01	1.98E+02	2.53E+02
PD4005a_non-exome	2.65E+01	4.14E+01	5.89E+01
PD4006a_non-exome	7.97E+01	1.14E+02	1.74E+02
PD4085a_non-exome	7.08E+00	4.93E+01	4.36E+01
PD4086a_non-exome	1.29E+01	1.45E+01	1.67E+01
PD4088a_non-exome	8.08E+00	5.40E+01	4.71E+01
PD4103a_non-exome	3.45E+01	1.36E+02	1.18E+02
PD4107a_non-exome	7.46E+01	1.49E+02	2.13E+02
PD4109a_non-exome	2.70E+01	2.36E+02	2.12E+02
PD4115a_non-exome	6.87E+01	1.65E+02	2.11E+02
PD4116a_non-exome	7.19E+01	1.06E+02	1.71E+02
PD4120a_non-exome	4.46E+01	4.65E+01	7.20E+01
PD4192a_non-exome	2.10E+01	7.34E+01	8.05E+01
PD4194a_non-exome	4.76E+00	3.53E+01	3.30E+01
PD4198a_non-exome	9.57E+00	1.22E+02	1.31E+02
PD4199a_non-exome	2.27E+01	3.31E+01	4.25E+01
PD4248a_non-exome	1.48E+01	5.06E+01	4.89E+01
