Samples	SBS96A	SBS96B	SBS96C
PD3851a_non-exome	55	359	1281
PD3890a_non-exome	866	4402	603
PD3904a_non-exome	759	3148	1432
PD3905a_non-exome	577	3084	679
PD3945a_non-exome	668	7471	1790
PD4005a_non-exome	2066	3368	369
PD4006a_non-exome	288	7409	1128
PD4085a_non-exome	77	602	1879
PD4086a_non-exome	602	848	630
PD4088a_non-exome	131	24	1475
PD4103a_non-exome	1086	348	3685
PD4107a_non-exome	929	6419	2537
PD4109a_non-exome	1744	3631	4105
PD4115a_non-exome	407	6896	2242
PD4116a_non-exome	976	6125	576
PD4120a_non-exome	66634	0	0
PD4192a_non-exome	689	1683	1357
PD4194a_non-exome	279	44	1094
PD4198a_non-exome	694	549	3096
PD4199a_non-exome	4788	0	1762
PD4248a_non-exome	205	964	1242
