Samples	DBS78A	DBS78B	DBS78C	DBS78D	DBS78E
PD3851a_non-exome	10	0	0	0	0
PD3890a_non-exome	0	0	25	7	0
PD3904a_non-exome	27	12	12	4	7
PD3905a_non-exome	31	0	0	0	0
PD3945a_non-exome	34	0	0	0	71
PD4005a_non-exome	0	24	0	0	24
PD4006a_non-exome	17	42	0	0	0
PD4085a_non-exome	0	5	0	3	0
PD4086a_non-exome	0	4	0	0	0
PD4088a_non-exome	0	0	5	1	0
PD4103a_non-exome	0	0	0	7	17
PD4107a_non-exome	17	63	0	7	0
PD4109a_non-exome	0	0	19	12	7
PD4115a_non-exome	20	0	74	0	0
PD4116a_non-exome	51	28	0	0	0
PD4120a_non-exome	0	0	0	104	0
PD4192a_non-exome	0	0	0	0	16
PD4194a_non-exome	0	0	8	0	0
PD4198a_non-exome	0	4	0	4	5
PD4199a_non-exome	0	3	4	13	0
PD4248a_non-exome	0	0	13	0	5
