Samples	SBS96A	SBS96B	SBS96C	SBS96D	SBS96E
PD3851a_non-exome	1.46E+01	6.01E+01	9.52E+01	5.04E+01	4.60E+01
PD3890a_non-exome	9.50E+01	1.53E+02	2.48E+02	1.68E+02	9.13E+01
PD3904a_non-exome	2.63E+01	2.95E+02	3.76E+02	9.73E+01	3.83E+01
PD3905a_non-exome	2.82E+01	1.30E+02	8.56E+01	8.92E+01	1.18E+02
PD3945a_non-exome	9.86E+01	5.35E+02	6.49E+02	1.68E+02	3.09E+02
PD4005a_non-exome	1.02E+02	8.39E+01	9.96E+01	1.13E+02	1.50E+02
PD4006a_non-exome	1.72E+01	4.82E+02	2.42E+02	1.40E+02	3.79E+02
PD4085a_non-exome	3.00E+00	5.73E+01	8.55E+01	4.67E+01	1.16E+01
PD4086a_non-exome	2.68E+01	5.69E+01	7.09E+01	6.03E+01	7.74E+01
PD4088a_non-exome	2.27E+01	6.83E+01	1.04E+02	6.22E+01	6.08E+01
PD4103a_non-exome	2.46E+01	1.12E+02	3.11E+02	1.81E+02	9.43E+01
PD4107a_non-exome	1.77E+02	7.93E+02	7.53E+02	2.90E+02	5.64E+02
PD4109a_non-exome	1.70E+02	4.26E+02	4.25E+02	2.32E+02	3.82E+02
PD4115a_non-exome	3.54E+01	3.85E+02	4.14E+02	9.11E+01	2.01E+02
PD4116a_non-exome	6.76E+01	3.32E+02	3.24E+02	1.23E+02	1.51E+02
PD4120a_non-exome	2.44E+02	2.27E+02	5.63E+02	4.56E+02	3.42E+02
PD4192a_non-exome	4.23E+01	2.58E+02	3.12E+02	1.22E+02	1.84E+02
PD4194a_non-exome	1.95E+01	2.60E+00	5.83E+01	3.53E+01	4.85E+01
PD4198a_non-exome	3.09E+01	1.51E+02	2.17E+02	7.33E+01	9.62E+01
PD4199a_non-exome	2.08E+01	5.81E+01	2.05E+02	1.27E+02	6.07E+01
PD4248a_non-exome	1.50E+01	1.11E+02	1.32E+02	6.96E+01	7.89E+01
