Samples	SBS96A	SBS96B	SBS96C	SBS96D	SBS96E
PD3851a_non-exome	22	195	552	828	98
PD3890a_non-exome	434	1498	1208	225	2506
PD3904a_non-exome	731	3081	431	945	151
PD3905a_non-exome	353	1565	868	300	1254
PD3945a_non-exome	451	5891	1552	825	1210
PD4005a_non-exome	1673	1288	0	467	2375
PD4006a_non-exome	0	4691	2099	0	2035
PD4085a_non-exome	24	329	844	1201	160
PD4086a_non-exome	448	0	406	415	811
PD4088a_non-exome	136	303	0	1191	0
PD4103a_non-exome	1091	1132	0	2896	0
PD4107a_non-exome	753	4888	4244	0	0
PD4109a_non-exome	1352	1896	0	3528	2704
PD4115a_non-exome	100	4567	2287	1005	1586
PD4116a_non-exome	597	3381	1638	0	2061
PD4120a_non-exome	66634	0	0	0	0
PD4192a_non-exome	395	0	937	830	1567
PD4194a_non-exome	251	0	0	930	236
PD4198a_non-exome	560	0	2284	1495	0
PD4199a_non-exome	4915	0	0	1635	0
PD4248a_non-exome	93	180	1241	542	355
