Samples	SBS96A	SBS96B	SBS96C	SBS96D	SBS96E	SBS96F
PD3851a_non-exome	1.66E+01	4.04E+01	5.34E+01	4.17E+01	2.84E+01	4.96E+01
PD3890a_non-exome	6.88E+01	8.88E+01	3.05E+02	2.32E+02	2.77E+02	8.17E+01
PD3904a_non-exome	7.00E+01	2.94E+02	3.16E+02	1.81E+02	3.40E+02	1.37E+02
PD3905a_non-exome	3.21E+01	1.15E+02	2.24E+02	1.73E+02	1.70E+02	8.00E+01
PD3945a_non-exome	5.18E+01	8.10E+02	8.54E+02	2.29E+02	3.95E+02	1.57E+02
PD4005a_non-exome	1.00E+02	9.19E+01	2.79E+02	2.41E+02	2.09E+02	5.27E+01
PD4006a_non-exome	0.00E+00	2.59E+02	4.77E+02	3.35E+02	3.16E+02	2.80E+02
PD4085a_non-exome	2.11E+01	1.10E+02	6.46E+01	5.42E+01	1.39E+02	1.39E+02
PD4086a_non-exome	4.40E+01	2.54E+01	8.19E+01	2.72E+01	7.32E+01	5.69E+01
PD4088a_non-exome	1.27E+01	5.95E+01	8.33E+01	4.93E+01	2.08E+02	1.68E+02
PD4103a_non-exome	6.42E+01	6.02E+01	2.25E+02	1.17E+02	4.69E+02	3.88E+02
PD4107a_non-exome	7.64E+01	5.76E+02	5.41E+02	2.09E+02	6.55E+02	2.58E+02
PD4109a_non-exome	2.52E+02	9.24E+01	3.37E+02	2.66E+02	7.54E+02	7.29E+02
PD4115a_non-exome	2.69E+01	5.90E+02	5.04E+02	2.38E+02	4.64E+02	1.37E+02
PD4116a_non-exome	4.71E+01	4.26E+02	4.35E+02	1.83E+02	2.84E+02	1.20E+02
PD4120a_non-exome	9.17E+02	2.66E+01	2.16E+02	1.23E+03	4.53E+02	2.27E+02
PD4192a_non-exome	5.30E+01	2.42E+02	9.35E+01	1.78E+02	2.32E+02	7.83E+01
PD4194a_non-exome	2.10E+01	1.52E+01	1.33E+01	2.44E+01	5.19E+01	4.09E+01
PD4198a_non-exome	2.58E+01	2.55E+02	2.14E+02	2.00E-01	1.86E+02	1.20E+02
PD4199a_non-exome	9.98E+01	8.00E+01	1.54E+01	1.67E+02	1.31E+02	7.16E+01
PD4248a_non-exome	2.37E+01	1.33E+02	1.31E+02	6.04E+01	1.57E+02	4.80E+01
