Samples	SBS1	SBS2	SBS5	SBS8	SBS10c	SBS13	SBS39	SBS40a
PD3851a_non-exome	201	0	580	0	0	0	0	914
PD3890a_non-exome	136	269	2069	1231	0	629	1537	0
PD3904a_non-exome	124	271	1361	1113	0	473	0	1997
PD3905a_non-exome	141	229	1420	1216	0	396	938	0
PD3945a_non-exome	179	299	4933	3765	0	753	0	0
PD4005a_non-exome	179	792	2129	1148	0	1555	0	0
PD4006a_non-exome	219	0	2879	2857	0	0	2870	0
PD4085a_non-exome	273	0	796	439	0	0	0	1050
PD4086a_non-exome	132	247	1255	0	0	446	0	0
PD4088a_non-exome	269	0	89	0	239	0	0	1033
PD4103a_non-exome	553	483	797	0	0	542	0	2744
PD4107a_non-exome	228	687	3711	3232	0	276	1751	0
PD4109a_non-exome	760	479	3328	0	0	1484	0	3429
PD4115a_non-exome	264	0	4068	2820	0	0	2393	0
PD4116a_non-exome	85	363	2557	2362	0	697	1613	0
PD4120a_non-exome	600	30961	3004	0	0	32069	0	0
PD4192a_non-exome	301	274	1622	0	0	451	1081	0
PD4194a_non-exome	196	99	350	0	0	170	0	602
PD4198a_non-exome	443	487	2039	1058	0	312	0	0
PD4199a_non-exome	303	2383	1471	0	0	2393	0	0
PD4248a_non-exome	141	0	786	0	0	0	0	1484
