Samples	SBS96A	SBS96B	SBS96C	SBS96D	SBS96E	SBS96F	SBS96G
PD3851a_non-exome	1.50E+01	4.05E+01	9.63E+01	6.26E+01	2.07E+01	1.19E+01	1.07E+02
PD3890a_non-exome	9.60E+01	5.03E+02	4.00E+02	1.04E+02	1.93E+02	1.60E+02	1.40E+02
PD3904a_non-exome	1.26E+02	2.00E+02	1.51E+02	1.55E+02	1.14E+02	1.96E+02	1.12E+02
PD3905a_non-exome	1.77E+01	2.24E+02	1.51E+02	6.47E+01	1.30E+02	2.88E+01	1.35E+02
PD3945a_non-exome	1.32E+02	5.70E+02	5.41E+02	2.27E+02	3.00E+02	1.81E+02	5.35E+02
PD4005a_non-exome	1.64E+02	1.25E+02	1.39E+02	1.44E+02	9.03E+01	3.53E+01	1.81E+02
PD4006a_non-exome	2.99E+01	3.41E+02	4.35E+02	1.60E+02	2.37E+02	2.45E+02	3.81E+02
PD4085a_non-exome	2.00E-01	9.83E+01	6.16E+01	1.43E+02	3.16E+01	3.54E+01	1.36E+02
PD4086a_non-exome	2.33E+01	9.94E+01	1.12E+02	5.18E+01	7.08E+01	6.22E+01	8.71E+01
PD4088a_non-exome	4.30E+01	4.04E+01	4.18E+01	5.53E+01	3.82E+01	4.80E+01	7.33E+01
PD4103a_non-exome	1.05E+02	7.82E+01	2.25E+02	1.33E+02	1.16E+02	1.18E+02	1.94E+02
PD4107a_non-exome	5.32E+01	3.98E+02	5.93E+02	3.93E+02	2.20E+00	5.06E+02	1.22E+02
PD4109a_non-exome	2.25E+02	2.39E+02	5.21E+02	3.54E+02	1.69E+02	1.87E+02	5.29E+02
PD4115a_non-exome	5.16E+01	7.37E+02	7.45E+02	1.89E+02	3.12E+02	3.33E+02	1.68E+02
PD4116a_non-exome	5.01E+01	2.98E+02	2.71E+02	9.36E+01	2.20E+02	1.52E+02	1.97E+02
PD4120a_non-exome	9.87E+02	2.82E+01	1.30E+03	1.94E+02	1.34E+03	9.52E+01	3.27E+02
PD4192a_non-exome	8.68E+01	0.00E+00	1.90E+02	1.25E+02	1.95E+02	2.77E+02	2.69E+02
PD4194a_non-exome	4.02E+01	4.16E+01	7.38E+01	7.48E+01	3.01E+01	3.34E+01	8.62E+01
PD4198a_non-exome	2.34E+01	2.11E+02	2.05E+02	3.17E+02	7.40E+00	7.26E+01	3.59E+02
PD4199a_non-exome	5.09E+02	8.25E+01	7.34E+02	1.23E+02	6.19E+01	4.20E+01	1.29E+02
PD4248a_non-exome	4.34E+01	2.05E+02	2.10E+02	1.47E+02	4.81E+01	5.75E+01	2.00E+02
