Samples	DBS78A	DBS78B	DBS78C	DBS78D	DBS78E	DBS78F	DBS78G	DBS78H
PD3851a_non-exome	0.00E+00	0.00E+00	0.00E+00	2.00E+00	2.00E+00	2.45E+00	2.00E+00	0.00E+00
PD3890a_non-exome	8.00E-01	1.55E+00	0.00E+00	0.00E+00	8.00E-01	0.00E+00	7.68E+00	6.35E+00
PD3904a_non-exome	2.18E+00	1.56E+00	1.18E+01	1.28E+01	5.63E+00	4.80E+00	8.00E-01	0.00E+00
PD3905a_non-exome	0.00E+00	8.00E-01	0.00E+00	8.00E-01	0.00E+00	1.60E+00	8.00E-01	0.00E+00
PD3945a_non-exome	8.39E+00	3.43E+00	0.00E+00	0.00E+00	1.99E+01	1.25E+01	0.00E+00	1.20E+00
PD4005a_non-exome	1.90E+00	0.00E+00	2.40E+00	0.00E+00	7.26E+00	0.00E+00	7.94E+00	0.00E+00
PD4006a_non-exome	1.45E+01	0.00E+00	6.80E+00	0.00E+00	0.00E+00	1.16E+01	0.00E+00	1.18E+01
PD4085a_non-exome	0.00E+00	8.00E-01	0.00E+00	8.00E-01	1.84E+00	0.00E+00	1.56E+00	1.60E+00
PD4086a_non-exome	8.00E-01	0.00E+00	9.80E-01	0.00E+00	0.00E+00	9.80E-01	0.00E+00	0.00E+00
PD4088a_non-exome	0.00E+00	5.10E-01	9.17E-01	8.00E-01	0.00E+00	0.00E+00	6.32E-01	0.00E+00
PD4103a_non-exome	0.00E+00	1.56E+00	1.60E+00	0.00E+00	3.29E+00	0.00E+00	2.00E-01	0.00E+00
PD4107a_non-exome	1.16E+01	2.85E+00	1.94E+00	0.00E+00	6.19E+00	0.00E+00	1.40E+00	0.00E+00
PD4109a_non-exome	0.00E+00	3.84E+00	3.07E+00	4.00E+00	2.69E+00	0.00E+00	3.52E+00	7.98E+00
PD4115a_non-exome	0.00E+00	0.00E+00	2.30E+01	2.30E+01	0.00E+00	0.00E+00	0.00E+00	0.00E+00
PD4116a_non-exome	1.12E+01	0.00E+00	0.00E+00	3.49E+00	1.00E+00	1.04E+01	4.40E+00	0.00E+00
PD4120a_non-exome	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00
PD4192a_non-exome	0.00E+00	0.00E+00	3.92E+00	0.00E+00	0.00E+00	3.20E+00	0.00E+00	3.92E+00
PD4194a_non-exome	1.60E+00	0.00E+00	1.74E+00	0.00E+00	8.00E-01	0.00E+00	8.00E-01	1.20E+00
PD4198a_non-exome	0.00E+00	2.60E+00	0.00E+00	2.33E+00	2.52E+00	0.00E+00	0.00E+00	2.52E+00
PD4199a_non-exome	2.45E-01	2.84E+00	1.56E+00	6.00E-01	6.00E-01	4.00E+00	0.00E+00	3.20E+00
PD4248a_non-exome	0.00E+00	0.00E+00	2.91E+00	2.24E+00	0.00E+00	0.00E+00	8.00E-01	0.00E+00
