Samples	SBS96A	SBS96B	SBS96C	SBS96D	SBS96E	SBS96F	SBS96G	SBS96H	SBS96I
PD3851a_non-exome	6.80E+00	5.61E+01	4.58E+01	7.36E+01	8.70E+01	0.00E+00	1.09E+02	8.64E+01	2.75E+01
PD3890a_non-exome	1.58E+02	4.33E+02	2.34E+02	1.72E+02	1.69E+02	3.94E+02	1.02E+02	2.39E+02	1.85E+02
PD3904a_non-exome	9.85E+01	1.25E+02	3.36E+01	2.09E+02	8.59E+01	1.10E+02	1.32E+02	1.08E+02	1.22E+02
PD3905a_non-exome	6.18E+01	1.92E+02	2.14E+02	1.39E+02	8.72E+01	1.75E+02	8.12E+01	1.56E+02	1.54E+02
PD3945a_non-exome	8.31E+01	6.50E+02	5.94E+02	3.93E+02	3.53E+02	4.00E+02	1.87E+02	8.89E+02	6.40E+02
PD4005a_non-exome	1.39E+02	2.40E+02	1.34E+02	1.33E+02	4.27E+01	1.86E+02	4.60E+01	8.14E+01	1.72E+01
PD4006a_non-exome	3.59E+01	3.97E+02	3.99E+02	2.35E+02	3.26E+02	1.78E+02	8.55E+01	1.89E+02	2.52E+02
PD4085a_non-exome	0.00E+00	2.51E+01	3.88E+01	6.52E+01	3.02E+01	5.14E+01	1.62E+02	8.40E+01	1.38E+02
PD4086a_non-exome	3.33E+01	5.22E+01	8.24E+01	4.15E+01	5.28E+01	1.16E+02	8.52E+01	9.86E+01	7.09E+01
PD4088a_non-exome	4.08E+01	9.69E+01	7.76E+00	1.03E+02	1.08E+02	7.18E+01	1.42E+02	2.26E+02	2.26E+01
PD4103a_non-exome	1.30E+02	5.39E+01	3.86E+01	2.41E+02	4.51E+01	1.51E+02	2.45E+02	3.32E+02	4.94E+01
PD4107a_non-exome	1.24E+02	3.87E+02	3.85E+02	4.13E+02	2.48E+02	2.30E+02	9.55E+01	2.44E+02	2.10E+02
PD4109a_non-exome	2.07E+02	2.94E+02	5.38E+02	4.21E+02	1.62E+02	4.52E+02	6.22E+02	1.97E+02	4.05E+02
PD4115a_non-exome	1.32E+02	9.98E+02	3.79E+02	3.30E+02	5.19E+02	3.67E+02	3.06E+02	6.53E+02	1.22E+02
PD4116a_non-exome	7.75E+01	3.42E+02	2.60E+02	2.36E+01	2.96E+02	2.52E+02	6.54E+01	3.30E+02	2.39E+02
PD4120a_non-exome	6.96E+02	7.55E+01	9.97E+01	4.79E+02	4.23E+01	9.24E+02	1.82E+02	3.90E+01	1.84E+02
PD4192a_non-exome	6.15E+01	1.10E+01	1.72E+02	2.73E+00	1.74E+02	1.43E+02	2.15E+02	2.35E+02	1.92E+02
PD4194a_non-exome	4.01E+01	7.09E+01	3.10E+01	7.72E+01	5.86E+01	3.40E+01	1.23E+02	1.21E+02	3.11E+01
PD4198a_non-exome	6.16E+01	4.83E+01	2.67E+02	1.98E+02	8.67E+00	2.00E-01	1.67E+02	1.07E+02	2.75E+02
PD4199a_non-exome	1.44E+02	1.38E+02	3.82E+01	2.71E+02	7.25E+01	1.35E+02	2.16E+02	1.28E+02	8.58E+01
PD4248a_non-exome	5.39E+01	3.67E+01	5.68E+01	1.22E+02	1.03E+02	3.23E+01	1.28E+02	1.35E+02	2.00E+02
