Samples	SBS96A	SBS96B	SBS96C
PD3851a	1.17E+01	2.18E+01	3.14E+01
PD3890a	5.82E+01	5.77E+01	7.21E+01
PD3904a	4.49E+01	7.36E+01	8.87E+01
PD3905a	4.91E+01	6.87E+01	8.86E+01
PD3945a	8.96E+01	1.40E+02	1.82E+02
PD4005a	4.46E+01	3.35E+01	4.76E+01
PD4006a	1.04E+02	7.94E+01	1.23E+02
PD4085a	2.32E+01	5.79E+01	6.55E+01
PD4086a	2.03E+01	2.86E+01	2.37E+01
PD4088a	9.02E+00	2.26E+01	1.81E+01
PD4103a	3.29E+01	6.39E+01	4.31E+01
PD4107a	9.40E+01	1.02E+02	1.35E+02
PD4109a	8.18E+01	5.53E+01	8.38E+01
PD4115a	8.46E+01	1.30E+02	1.37E+02
PD4116a	6.82E+01	1.07E+02	1.44E+02
PD4120a	2.29E+02	8.42E+01	2.28E+02
PD4192a	3.25E+01	3.80E+01	2.70E+01
PD4194a	6.72E+00	3.33E+01	3.01E+01
PD4198a	4.20E+01	6.50E+01	8.20E+01
PD4199a	3.16E+01	2.69E+01	1.52E+01
PD4248a	1.96E+01	1.56E+01	3.42E+01
